#{"t_start": 1732811639.8356025, "env_id": "InvertedDoublePendulum-v4"}
r,l,t
35.266274,4,5.3831
26.920247,3,5.385892
26.867935,3,5.407441
35.238053,4,5.410619
35.220682,4,5.439449
35.184723,4,5.442995
26.945541,3,5.465078
35.366261,4,5.468345
26.872186,3,5.490891
26.914182,3,5.493567
26.857398,3,5.515218
26.862276,3,5.517963
35.228699,4,5.547649
35.205467,4,5.551109
35.202376,4,5.580745
26.944292,3,5.583344
35.219112,4,5.612146
35.292823,4,5.615577
35.202813,4,5.645593
26.821361,3,5.648269
26.739785,3,5.670352
26.911463,3,5.673028
26.891895,3,5.696089
26.837969,3,5.698898
26.776045,3,5.729942
26.921353,3,5.732356
35.251392,4,5.762069
26.874869,3,5.764721
26.937994,3,5.787156
26.878222,3,5.789902
35.340366,4,5.818108
35.297866,4,5.821542
26.794647,3,5.843757
26.822692,3,5.846263
26.822159,3,5.868186
35.32123,4,5.87141
35.221847,4,5.899693
35.162785,4,5.903146
35.140239,4,5.932472
35.37312,4,5.935967
35.328173,4,5.965101
35.297725,4,5.968383
35.191684,4,5.997491
35.131899,4,6.000978
26.89426,3,6.023022
35.149743,4,6.026183
35.187875,4,6.054205
35.41415,4,6.057753
26.915383,3,6.080014
26.928977,3,6.082742
26.873488,3,6.104585
35.252075,4,6.107798
26.805702,3,6.129674
26.942116,3,6.132315
35.172297,4,6.160903
26.896149,3,6.163579
26.920061,3,6.187384
35.233922,4,6.191645
26.889907,3,6.21526
26.835366,3,6.217894
26.911944,3,6.242592
35.17887,4,6.245948
26.917849,3,6.267727
26.891183,3,6.270295
35.263503,4,6.298998
35.254656,4,6.302098
35.386563,4,6.331078
26.805487,3,6.333556
26.92743,3,6.356598
26.870545,3,6.359141
35.268673,4,6.388957
26.970531,3,6.391688
26.897452,3,6.413145
35.291277,4,6.416315
26.97782,3,6.438504
35.241829,4,6.441801
26.865507,3,6.464601
35.350462,4,6.467946
26.867301,3,6.489909
26.902539,3,6.492363
26.932606,3,6.514433
35.220792,4,6.517638
26.943534,3,6.54013
26.959379,3,6.54272
35.242168,4,6.572008
26.915791,3,6.57455
35.292029,4,6.602856
26.978689,3,6.605592
35.142178,4,6.634365
35.187097,4,6.637918
26.887972,3,6.659351
35.335698,4,6.662537
26.955801,3,6.683973
26.867887,3,6.686603
35.368637,4,6.714933
35.322269,4,6.71841
35.278946,4,6.747435
26.943265,3,6.75004
26.806803,3,6.772046
35.24349,4,6.775305
35.238852,4,6.80435
35.205493,4,6.807945
35.14299,4,6.835798
35.30838,4,6.839126
26.7946,3,6.86201
26.888171,3,6.864496
35.156535,4,6.892475
26.876175,3,6.895188
26.84223,3,6.918027
26.812619,3,6.92071
26.947413,3,6.942248
35.175414,4,6.945409
26.863309,3,6.966446
35.144508,4,6.969948
35.391145,4,6.998168
35.311319,4,7.001511
35.162686,4,7.031091
35.270501,4,7.03431
35.357526,4,7.062579
26.89636,3,7.065366
26.93052,3,7.086824
35.145365,4,7.09038
35.271488,4,7.118922
26.821494,3,7.121722
35.224867,4,7.150779
26.907096,3,7.153525
26.909881,3,7.176226
26.952263,3,7.179035
35.349211,4,7.209532
26.923769,3,7.212055
35.225127,4,7.241268
26.910731,3,7.243765
26.923506,3,7.264806
35.23034,4,7.267965
26.947332,3,7.29037
26.91949,3,7.29305
35.315408,4,7.320477
26.893832,3,7.323031
35.280977,4,7.353137
35.30845,4,7.356428
26.943366,3,7.379671
26.925623,3,7.382529
26.868105,3,7.405646
26.865792,3,7.408252
26.872795,3,7.430428
35.316932,4,7.433618
35.385926,4,7.464722
35.172618,4,7.468138
35.126598,4,7.498474
35.219236,4,7.502024
26.728727,3,7.525074
35.328528,4,7.528636
26.963636,3,7.550989
35.142473,4,7.554394
26.945936,3,7.577784
35.299009,4,7.581092
26.953415,3,7.603598
35.197875,4,7.607278
26.89747,3,7.629829
26.841376,3,7.632342
35.382115,4,7.663027
35.344219,4,7.666283
26.908456,3,7.68934
26.899926,3,7.691915
26.890693,3,7.714468
26.911591,3,7.717057
35.320106,4,7.749041
26.931743,3,7.751594
26.928817,3,7.77405
26.865352,3,7.777071
35.327336,4,7.807214
35.267118,4,7.810728
35.206671,4,7.841125
35.254958,4,7.844453
35.324256,4,7.874487
26.931625,3,7.877154
35.324566,4,7.908183
35.327311,4,7.911716
35.282429,4,7.944465
35.302309,4,7.948026
35.247105,4,7.980145
35.250711,4,7.983335
26.937243,3,8.007867
26.910793,3,8.010671
26.90792,3,8.03468
35.230602,4,8.038136
35.142237,4,8.070533
26.845432,3,8.073231
26.969242,3,8.09795
35.165378,4,8.101485
26.947614,3,8.125701
26.889866,3,8.128438
26.941854,3,8.152766
26.896146,3,8.15574
35.274966,4,8.189945
35.156071,4,8.193413
26.943919,3,8.218799
35.320422,4,8.222371
26.977553,3,8.247679
35.222609,4,8.251225
26.914091,3,8.276602
35.3554,4,8.280472
26.826184,3,8.308954
35.312654,4,8.313006
35.237481,4,8.344258
35.171745,4,8.347536
26.967048,3,8.370366
35.210522,4,8.373871
26.952488,3,8.397804
35.263028,4,8.401187
35.110749,4,8.43383
26.924904,3,8.43672
35.165517,4,8.471917
26.834946,3,8.474523
35.174604,4,8.504896
26.823251,3,8.50765
35.278584,4,8.5396
35.264518,4,8.543028
35.297538,4,8.576715
26.816203,3,8.57942
26.926077,3,8.603024
35.103916,4,8.606658
26.959351,3,8.631429
35.235739,4,8.634763
26.958694,3,8.658667
26.958183,3,8.661476
26.931146,3,8.684444
26.839616,3,8.687118
26.879195,3,8.71074
35.228894,4,8.714117
35.216397,4,8.745585
26.965533,3,8.748531
35.251876,4,8.780156
35.167638,4,8.783509
26.850586,3,8.8064
26.783917,3,8.809273
26.919846,3,8.832581
26.871783,3,8.835186
35.268102,4,8.865441
26.924405,3,8.868066
26.92193,3,8.891705
35.19334,4,8.895015
26.787264,3,8.919536
35.122137,4,8.923077
26.862447,3,8.946404
26.868397,3,8.948989
26.929154,3,8.971003
26.850823,3,8.973571
26.901801,3,8.996862
35.262106,4,9.000145
26.79891,3,9.023179
35.174325,4,9.02642
26.862956,3,9.050287
35.202541,4,9.053998
35.176353,4,9.086059
26.93773,3,9.088789
35.349336,4,9.119525
26.823524,3,9.122352
26.883459,3,9.146641
26.865035,3,9.149323
26.868235,3,9.173454
35.230511,4,9.177101
35.265695,4,9.208004
35.2178,4,9.211362
35.290974,4,9.241707
35.283387,4,9.245299
35.231326,4,9.277998
35.210532,4,9.281236
26.968924,3,9.304919
26.837127,3,9.30766
35.1909,4,9.338736
26.851805,3,9.34158
26.827757,3,9.365307
26.906435,3,9.367949
26.868048,3,9.391239
35.234895,4,9.394894
26.884663,3,9.418075
35.131853,4,9.421757
