#{"t_start": 1732811639.8356025, "env_id": "InvertedDoublePendulum-v4"}
r,l,t
35.255198,4,18.577627
35.201174,4,18.609448
35.247307,4,18.61279
26.931297,3,18.634923
26.879084,3,18.637489
26.950923,3,18.660004
35.132313,4,18.663544
26.906064,3,18.68673
26.946194,3,18.689649
35.263715,4,18.721977
26.939134,3,18.724634
26.816687,3,18.747924
35.259541,4,18.751303
26.925285,3,18.774232
26.890463,3,18.776865
26.972663,3,18.800205
26.944065,3,18.803017
35.330119,4,18.83497
26.840858,3,18.837823
35.303977,4,18.868315
35.210494,4,18.872129
26.82525,3,18.894959
35.266669,4,18.898242
35.176266,4,18.929294
26.881661,3,18.932109
35.323316,4,18.962414
26.754978,3,18.965
26.854273,3,18.988042
35.282176,4,18.991398
26.801082,3,19.013987
35.115939,4,19.017523
26.829241,3,19.041339
35.321718,4,19.044754
35.237267,4,19.075663
35.226492,4,19.079215
26.978059,3,19.102845
26.970712,3,19.105506
26.889405,3,19.129529
35.338647,4,19.133196
35.362711,4,19.164819
35.265994,4,19.168179
35.160223,4,19.199668
35.26323,4,19.203178
35.182472,4,19.234078
26.898216,3,19.236993
26.872949,3,19.261346
35.163986,4,19.265056
35.287305,4,19.295464
26.918355,3,19.298101
26.858639,3,19.320538
35.202816,4,19.323844
35.160731,4,19.355195
35.249482,4,19.358811
26.905949,3,19.381578
35.318671,4,19.385114
26.852235,3,19.408856
35.230304,4,19.412258
35.133673,4,19.445223
35.325645,4,19.448917
35.353526,4,19.482404
26.862332,3,19.484944
35.212542,4,19.515316
26.925062,3,19.517937
26.90602,3,19.540865
35.271135,4,19.544712
35.233361,4,19.575669
26.881464,3,19.578429
26.830271,3,19.606831
35.187613,4,19.610067
26.950566,3,19.632851
26.965437,3,19.63538
